application_no,date_received,date_released,year,month,quarter,application_type,current_stage,assigned_staff,barangay,purpose,zone_classification,latitude,longitude,lot_area_sqm,floor_area_sqm,no_of_floors,total_fee_php,processing_days,is_compliant,monthly_rainfall_mm,inflation_rate_pct,working_days_month
ZA-2019-0230,2019-09-26,2019-09-30,2019,9,3,Zoning Certificate,Released,"Garduque, H.",Calumpang,Boundary Dispute Resolution,Open Space (OS),13.840262,121.170798,1827,,1,5626.15,2,1,164.2,3.03,21
ZA-2019-0231,2019-10-02,2019-10-11,2019,10,4,Zoning Certificate,Released,"Bautista, R.",Poblacion Barangay III,Bank/Loan Requirement,Commercial (C-1),13.84669,121.233325,594,,1,1527.08,7,1,110.2,2.44,23
ZA-2019-0232,2019-10-04,2019-10-22,2019,10,4,Locational Clearance,Released,"Bautista, R.",Poblacion Barangay III,Residential House Construction,Residential Medium Density (R-2),13.836278,121.175358,330,176.0,1,1038.5,12,0,125.9,2.78,23
ZA-2019-0233,2019-10-07,2019-10-23,2019,10,4,Locational Clearance,Released,"Cruz, M.",Mabini,Gasoline Station,Commercial (C-1),13.850038,121.234305,631,215.0,4,1867.2,12,1,101.9,2.69,23
ZA-2019-0234,2019-10-10,2019-11-07,2019,10,4,Development Permit,Released,"Tipan, S.",Mataas na Lupa,Memorial Park Development,Residential Low Density (R-1),13.857139,121.227819,359,188.0,1,2131.09,20,1,149.3,2.79,23
ZA-2019-0235,2019-10-14,2020-01-20,2019,10,4,Development Permit,Released,"Bautista, R.",Poblacion Barangay I,Mixed-Use Development,Residential Low Density (R-1),13.863874,121.175317,444,135.0,1,2888.11,70,0,136.9,2.94,23
ZA-2019-0236,2019-10-15,2019-12-16,2019,10,4,Development Permit,Released,"Tipan, S.",Santol,Commercial Complex Development,Industrial (I-1),13.873693,121.219638,4240,3315.0,2,8014.59,44,1,119.2,2.66,23
ZA-2019-0237,2019-10-21,2019-11-05,2019,10,4,Locational Clearance,Released,"Tipan, S.",Marawoy,Medical Clinic,Institutional (Inst),13.867772,121.222331,531,398.0,1,2358.48,11,0,132.9,2.78,23
ZA-2019-0238,2019-10-22,2019-11-12,2019,10,4,Locational Clearance,Released,"Cruz, M.",Talisay,Commercial Building Construction,Residential Low Density (R-1),13.83618,121.195106,294,172.0,1,1394.27,15,0,118.6,2.29,23
ZA-2019-0239,2019-11-06,2019-11-13,2019,11,4,Zoning Certificate,Released,"Bautista, R.",Bulacnin,Estate Settlement,Agricultural (A),13.826158,121.225692,8188,,4,22702.88,5,1,92.3,2.37,21
ZA-2019-0240,2019-11-06,2020-01-02,2019,11,4,Development Permit,Released,"Tipan, S.",Kayumanggi,Industrial Plant Expansion,Residential Low Density (R-1),13.895125,121.22091,858,397.0,1,2861.98,41,1,57.4,2.23,21
ZA-2019-0241,2019-11-11,2019-11-20,2019,11,4,Locational Clearance,Released,"Bautista, R.",Pinagkawitan,Car Wash,Commercial (C-2),13.872958,121.235195,1393,601.0,3,4773.17,7,1,85.7,2.73,21
ZA-2019-0242,2019-11-12,2019-12-17,2019,11,4,Locational Clearance,Released,"Tipan, S.",Talisay,Medical Clinic,Residential Low Density (R-1),13.822694,121.240335,307,172.0,1,1515.54,25,1,80.2,2.03,21
ZA-2019-0243,2019-11-13,2019-11-28,2019,11,4,Locational Clearance,Released,"Tipan, S.",Poblacion Barangay II,Subdivision Development,Commercial (C-1),13.846023,121.242077,517,255.0,3,2080.08,11,0,68.0,2.69,21
ZA-2019-0244,2019-11-18,2019-12-05,2019,11,4,Locational Clearance,Released,"Cruz, M.",Kayumanggi,Poultry/Livestock Farm,Residential Medium Density (R-2),13.879855,121.234533,346,124.0,1,1114.77,13,1,59.7,2.43,21
ZA-2019-0245,2019-11-20,2019-12-05,2019,11,4,Locational Clearance,Released,"Cruz, M.",Tulo,Food Establishment,Commercial (C-1),13.872347,121.188561,483,372.0,4,1911.71,11,1,95.0,2.69,21
ZA-2019-0246,2019-11-22,2020-01-07,2019,11,4,Locational Clearance,Released,"Garduque, H.",Calumpang,Medical Clinic,Residential Low Density (R-1),13.866476,121.249254,842,568.0,1,2222.38,32,1,69.7,2.97,21
ZA-2019-0247,2019-11-22,2019-12-12,2019,11,4,Zoning Certificate,Released,"Garduque, H.",Parang,Property Sale/Transfer,Residential Low Density (R-1),13.894255,121.244331,327,,1,1324.62,14,1,80.5,1.87,21
ZA-2019-0248,2019-11-25,2019-12-09,2019,11,4,Zoning Certificate,Released,"Tipan, S.",Parang,Property Sale/Transfer,Institutional (Inst),13.856381,121.223983,674,,2,1628.83,10,1,59.1,2.94,21
ZA-2019-0249,2019-11-28,2019-12-06,2019,11,4,Zoning Certificate,Released,"Castillo, J.",Bolbok,Business Permit Application,Residential Medium Density (R-2),13.842023,121.182497,1315,,1,4479.53,6,1,93.5,3.01,21
ZA-2019-0250,2019-12-02,2020-01-02,2019,12,4,Development Permit,Released,"Bautista, R.",Iligan,New Residential Subdivision,Industrial (I-1),13.833578,121.171532,3950,2264.0,4,11157.39,23,1,47.8,2.9,20
ZA-2019-0251,2019-12-20,2020-01-01,2019,12,4,Zoning Certificate,Released,"Cruz, M.",Pinagtongulan,Building Permit Requirement,Commercial (C-2),13.862875,121.20908,1539,,1,2852.36,8,0,23.5,2.41,20
ZA-2019-0252,2019-12-20,2020-01-13,2019,12,4,Locational Clearance,Released,"Cruz, M.",Poblacion Barangay I,Place of Worship,Agricultural (A),13.848394,121.174159,1821,1553.0,2,3636.44,16,1,38.9,2.36,20
ZA-2019-0253,2019-12-23,2020-01-02,2019,12,4,Locational Clearance,Released,"Tipan, S.",Bulacnin,Poultry/Livestock Farm,Residential Medium Density (R-2),13.836899,121.23904,543,450.0,1,2008.4,8,1,37.5,2.56,20
ZA-2019-0254,2019-12-24,2020-02-27,2019,12,4,Development Permit,Released,"Cruz, M.",Tambo,Eco-Tourism Site,Residential Low Density (R-1),13.891789,121.21981,315,246.0,1,2310.21,47,1,39.5,2.64,20
ZA-2019-0255,2019-12-30,2020-02-10,2019,12,4,Development Permit,Released,"Bautista, R.",Santo Niño,Industrial Plant Expansion,Commercial (C-1),13.895037,121.176808,381,337.0,1,2539.98,30,0,30.0,2.45,20
ZA-2020-0256,2020-01-01,2020-01-13,2020,1,1,Locational Clearance,Released,"Castillo, J.",San Jose,School/Learning Center,Residential Medium Density (R-2),13.833399,121.181782,354,206.0,1,1401.63,8,1,17.1,2.54,22
ZA-2020-0257,2020-01-03,2020-01-15,2020,1,1,Locational Clearance,Released,"Cruz, M.",Poblacion Barangay I,Apartment/Boarding House,Institutional (Inst),13.830374,121.190517,763,378.0,2,2240.33,8,1,38.5,2.06,22
ZA-2020-0258,2020-01-06,2020-01-24,2020,1,1,Locational Clearance,Released,"Castillo, J.",Mataas na Lupa,Gasoline Station,Commercial (C-1),13.826619,121.208763,408,206.0,1,1167.13,14,1,26.6,1.86,22
ZA-2020-0259,2020-01-06,2020-01-24,2020,1,1,Locational Clearance,Released,"Cruz, M.",Halang,Medical Clinic,Commercial (C-1),13.86992,121.191891,412,267.0,2,1392.0,14,1,5.3,2.39,22
ZA-2020-0260,2020-01-06,2020-01-20,2020,1,1,Locational Clearance,Released,"Garduque, H.",Tambo,School/Learning Center,Commercial (C-1),13.856675,121.228,192,152.0,3,1050.92,10,1,45.5,2.64,22
ZA-2020-0261,2020-01-07,2020-01-16,2020,1,1,Zoning Certificate,Released,"Castillo, J.",Kayumanggi,Bank/Loan Requirement,Residential Medium Density (R-2),13.887209,121.249156,627,,1,2138.42,7,1,13.8,2.65,22
ZA-2020-0262,2020-01-08,2020-01-10,2020,1,1,Zoning Certificate,Released,"Garduque, H.",Latag,Property Sale/Transfer,Residential Low Density (R-1),13.858654,121.237058,481,,1,1873.63,2,1,32.3,2.29,22
ZA-2020-0263,2020-01-10,2020-01-21,2020,1,1,Locational Clearance,Released,"Tipan, S.",Munting Pulo,Apartment/Boarding House,Residential Medium Density (R-2),13.835714,121.246116,210,120.0,1,921.39,7,1,21.9,2.02,22
ZA-2020-0264,2020-01-13,2020-05-08,2020,1,1,Development Permit,Released,"Bautista, R.",Mataas na Lupa,New Residential Subdivision,Residential Low Density (R-1),13.849774,121.222933,413,284.0,1,2345.18,84,1,21.3,2.07,22
ZA-2020-0265,2020-01-14,2020-02-14,2020,1,1,Development Permit,Released,"Tipan, S.",Munting Pulo,Eco-Tourism Site,Residential Medium Density (R-2),13.842857,121.24417,367,158.0,1,2299.35,23,0,19.0,2.53,22
ZA-2020-0266,2020-01-15,2020-01-24,2020,1,1,Locational Clearance,Released,"Cruz, M.",Mataas na Lupa,Medical Clinic,Commercial (C-2),13.864543,121.23761,953,742.0,1,2086.96,7,1,10.0,2.55,22
ZA-2020-0267,2020-01-16,2020-02-10,2020,1,1,Locational Clearance,Released,"Cruz, M.",Tambo,Warehouse/Storage Facility,Residential Medium Density (R-2),13.84106,121.170052,284,122.0,1,1092.86,17,1,22.4,2.51,22
ZA-2020-0268,2020-01-17,2020-02-11,2020,1,1,Locational Clearance,Released,"Tipan, S.",Mabini,Gasoline Station,Residential Medium Density (R-2),13.827502,121.20889,970,379.0,1,3124.09,17,1,4.0,2.2,22
ZA-2020-0269,2020-01-20,2020-02-04,2020,1,1,Locational Clearance,Released,"Castillo, J.",Mataas na Lupa,Subdivision Development,Commercial (C-2),13.832359,121.208981,1233,716.0,2,4597.52,11,0,47.1,1.98,22
ZA-2020-0270,2020-01-22,2020-03-02,2020,1,1,Development Permit,Released,"Castillo, J.",Sampaguita,New Residential Subdivision,Residential Medium Density (R-2),13.847233,121.210846,885,356.0,1,4015.5,28,1,29.5,2.46,22
ZA-2020-0271,2020-01-24,2020-04-23,2020,1,1,Locational Clearance,Released,"Garduque, H.",Santol,School/Learning Center,Commercial (C-1),13.855054,121.237134,635,210.0,5,1633.83,64,1,0.0,2.31,22
ZA-2020-0272,2020-01-24,2020-02-25,2020,1,1,Development Permit,Released,"Castillo, J.",Bulacnin,Industrial Plant Expansion,Industrial (I-1),13.884116,121.201367,3376,1582.0,1,10920.14,22,1,10.0,2.51,22
ZA-2020-0273,2020-01-27,2020-02-20,2020,1,1,Locational Clearance,Released,"Garduque, H.",Bulacnin,Car Wash,Institutional (Inst),13.850986,121.175293,342,242.0,2,1662.0,18,0,41.0,2.44,22
ZA-2020-0274,2020-01-30,2020-02-07,2020,1,1,Locational Clearance,Released,"Cruz, M.",Poblacion Barangay II,Warehouse/Storage Facility,Industrial (I-1),13.894656,121.19124,2098,667.0,1,4966.16,6,1,41.7,2.7,22
ZA-2020-0275,2020-02-07,2020-02-20,2020,2,1,Locational Clearance,Released,"Garduque, H.",Bolbok,Place of Worship,Institutional (Inst),13.842197,121.192529,761,661.0,1,2230.49,9,1,36.9,2.71,20
ZA-2020-0276,2020-02-07,2020-03-05,2020,2,1,Development Permit,Released,"Garduque, H.",Lumbang,Eco-Tourism Site,Residential Low Density (R-1),13.847471,121.236766,286,99.0,1,2498.92,19,1,31.6,2.34,20
ZA-2020-0277,2020-02-07,2020-02-17,2020,2,1,Locational Clearance,Released,"Castillo, J.",Pinagtongulan,Poultry/Livestock Farm,Agricultural (A),13.860121,121.189733,5970,2330.0,1,10339.18,6,1,53.1,2.29,20
ZA-2020-0278,2020-02-10,2020-03-05,2020,2,1,Locational Clearance,Released,"Bautista, R.",Calumpang,Medical Clinic,Commercial (C-2),13.880564,121.174448,1525,986.0,2,4951.6,18,0,7.8,2.92,20
ZA-2020-0279,2020-02-11,2020-02-26,2020,2,1,Locational Clearance,Released,"Garduque, H.",Mabini,Warehouse/Storage Facility,Residential Low Density (R-1),13.875284,121.191731,785,657.0,1,2923.6,11,1,14.5,2.25,20
ZA-2020-0280,2020-02-13,2020-02-19,2020,2,1,Locational Clearance,Released,"Garduque, H.",Latag,Medical Clinic,Residential Low Density (R-1),13.862516,121.193036,324,259.0,1,1139.41,4,1,0.0,2.38,20
ZA-2020-0281,2020-02-20,2020-04-03,2020,2,1,Locational Clearance,Released,"Tipan, S.",Poblacion Barangay II,Food Establishment,Residential Medium Density (R-2),13.892193,121.197517,249,99.0,1,1273.72,31,1,34.8,2.78,20
ZA-2020-0282,2020-02-28,2020-04-30,2020,2,1,Development Permit,Released,"Bautista, R.",Calumpang,Commercial Complex Development,Commercial (C-1),13.820865,121.236124,1280,1074.0,1,5255.35,44,1,20.2,2.43,20
ZA-2020-0283,2020-03-06,2020-04-10,2020,3,1,Locational Clearance,Released,"Castillo, J.",Parang,Car Wash,Residential Medium Density (R-2),13.862583,121.178261,280,104.0,1,990.18,25,1,37.0,2.48,22
ZA-2020-0284,2020-03-09,2020-03-25,2020,3,1,Locational Clearance,Released,"Cruz, M.",Pinagkawitan,School/Learning Center,Residential Low Density (R-1),13.824221,121.225361,265,127.0,1,1080.09,12,1,34.8,1.94,22
ZA-2020-0285,2020-03-10,2020-03-12,2020,3,1,Zoning Certificate,Released,"Garduque, H.",Sampaguita,Boundary Dispute Resolution,Industrial (I-1),13.885884,121.235656,2652,,3,4962.39,2,1,37.8,1.75,22
ZA-2020-0286,2020-03-12,2020-03-25,2020,3,1,Locational Clearance,Released,"Cruz, M.",Tambo,Commercial Building Construction,Agricultural (A),13.857335,121.208571,4035,2088.0,1,7881.28,9,1,43.6,2.26,22
ZA-2020-0287,2020-03-12,2020-04-03,2020,3,1,Locational Clearance,Released,"Bautista, R.",Mataas na Lupa,Apartment/Boarding House,Commercial (C-2),13.844263,121.244604,1367,723.0,3,3235.65,16,1,34.9,2.5,22
ZA-2020-0288,2020-03-13,2020-03-30,2020,3,1,Development Permit,Released,"Cruz, M.",Iligan,Memorial Park Development,Commercial (C-1),13.897692,121.214975,1311,419.0,2,4784.25,11,1,18.1,2.3,22
ZA-2020-0289,2020-03-17,2020-04-06,2020,3,1,Locational Clearance,Released,"Cruz, M.",Iligan,Warehouse/Storage Facility,Institutional (Inst),13.826144,121.198373,537,296.0,2,1955.42,14,1,14.4,1.74,22
ZA-2020-0290,2020-03-17,2020-03-26,2020,3,1,Zoning Certificate,Released,"Castillo, J.",Tambo,Property Sale/Transfer,Commercial (C-1),13.840427,121.17847,873,,1,2729.48,7,1,34.4,2.08,22
ZA-2020-0291,2020-03-19,2020-04-24,2020,3,1,Development Permit,Released,"Cruz, M.",Sico,Mixed-Use Development,Commercial (C-1),13.832545,121.236184,202,143.0,2,2004.21,26,1,31.1,2.37,22
ZA-2020-0292,2020-03-20,2020-05-08,2020,3,1,Development Permit,Released,"Garduque, H.",Mabini,Eco-Tourism Site,Residential Low Density (R-1),13.878519,121.246649,378,152.0,1,2675.34,35,1,43.3,2.51,22
ZA-2020-0293,2020-03-26,2020-05-15,2020,3,1,Development Permit,Released,"Garduque, H.",Calumpang,New Residential Subdivision,Residential Low Density (R-1),13.880192,121.212504,434,373.0,1,2532.58,36,1,38.4,2.18,22
ZA-2020-0294,2020-03-27,2020-04-10,2020,3,1,Locational Clearance,Released,"Bautista, R.",Poblacion Barangay III,Warehouse/Storage Facility,Residential Low Density (R-1),13.887573,121.204504,1223,904.0,1,4441.69,10,1,32.1,2.62,22
ZA-2020-0295,2020-03-31,2020-04-16,2020,3,1,Locational Clearance,Released,"Garduque, H.",Mataas na Lupa,Mini-Grocery/Sari-Sari Store,Open Space (OS),13.865843,121.196017,443,200.0,3,1620.77,12,1,46.3,2.37,22
ZA-2020-0296,2020-03-31,2020-05-01,2020,3,1,Locational Clearance,Released,"Tipan, S.",Halang,Gasoline Station,Residential Low Density (R-1),13.852017,121.232664,608,448.0,1,1713.47,23,0,10.3,2.42,22
ZA-2020-0297,2020-04-02,2020-04-14,2020,4,2,Locational Clearance,Released,"Tipan, S.",Munting Pulo,Car Wash,Residential Low Density (R-1),13.86982,121.187814,416,289.0,1,1330.56,8,1,40.4,2.54,21
ZA-2020-0298,2020-04-02,2020-04-06,2020,4,2,Zoning Certificate,Released,"Bautista, R.",Marawoy,Boundary Dispute Resolution,Residential Low Density (R-1),13.880583,121.241837,193,,1,662.78,2,1,30.8,2.34,21
ZA-2020-0299,2020-04-03,2020-04-13,2020,4,2,Locational Clearance,Released,"Bautista, R.",Pinagkawitan,Subdivision Development,Open Space (OS),13.886796,121.247975,338,122.0,1,1067.87,6,1,40.2,2.29,21
ZA-2020-0300,2020-04-06,2020-04-21,2020,4,2,Locational Clearance,Released,"Cruz, M.",Lodlod,Poultry/Livestock Farm,Residential Medium Density (R-2),13.865916,121.201432,382,314.0,1,1342.61,11,1,46.1,2.42,21
ZA-2020-0301,2020-04-06,2020-04-16,2020,4,2,Locational Clearance,Released,"Tipan, S.",Tambo,School/Learning Center,Residential Medium Density (R-2),13.851815,121.247904,401,123.0,1,1330.67,8,1,50.1,1.88,21
ZA-2020-0302,2020-04-07,2020-04-29,2020,4,2,Locational Clearance,Released,"Bautista, R.",Iligan,Gasoline Station,Residential Low Density (R-1),13.824046,121.20409,584,424.0,1,2268.18,16,1,31.0,2.53,21
ZA-2020-0303,2020-04-08,2020-05-01,2020,4,2,Locational Clearance,Released,"Garduque, H.",Poblacion Barangay II,Apartment/Boarding House,Residential Medium Density (R-2),13.856005,121.196996,623,271.0,1,1886.2,17,1,26.8,2.6,21
ZA-2020-0304,2020-04-13,2020-04-15,2020,4,2,Locational Clearance,Released,"Cruz, M.",Pinagkawitan,Medical Clinic,Residential Medium Density (R-2),13.862395,121.182909,334,110.0,1,1187.85,2,1,29.4,2.8,21
ZA-2020-0305,2020-04-14,2020-04-17,2020,4,2,Zoning Certificate,Released,"Castillo, J.",Halang,Bank/Loan Requirement,Commercial (C-2),13.848886,121.202676,1243,,1,4140.61,3,1,41.8,2.28,21
ZA-2020-0306,2020-04-15,2020-05-21,2020,4,2,Locational Clearance,Released,"Garduque, H.",Sico,Warehouse/Storage Facility,Institutional (Inst),13.840786,121.240887,533,171.0,2,1727.38,26,1,22.1,2.31,21
ZA-2020-0307,2020-04-16,2020-04-23,2020,4,2,Locational Clearance,Released,"Tipan, S.",Santo Niño,Food Establishment,Residential Low Density (R-1),13.873847,121.235948,668,293.0,1,2195.83,5,0,27.5,2.07,21
ZA-2020-0308,2020-04-17,2020-05-21,2020,4,2,Locational Clearance,Released,"Cruz, M.",Iligan,Food Establishment,Agricultural (A),13.899407,121.182496,4030,2993.0,1,9712.21,24,1,17.9,2.58,21
ZA-2020-0309,2020-04-23,2020-06-02,2020,4,2,Development Permit,Released,"Cruz, M.",Poblacion Barangay II,Reclamation Project,Agricultural (A),13.852895,121.204199,9598,6207.0,3,26115.8,28,1,45.7,2.61,21
ZA-2020-0310,2020-04-23,2020-06-26,2020,4,2,Development Permit,Released,"Bautista, R.",Tambo,New Residential Subdivision,Residential Low Density (R-1),13.821296,121.23547,192,156.0,1,1915.2,46,1,43.1,2.6,21
ZA-2020-0311,2020-04-27,2020-05-22,2020,4,2,Locational Clearance,Released,"Castillo, J.",Mabini,Medical Clinic,Residential Medium Density (R-2),13.867539,121.218252,343,155.0,1,1423.98,19,1,41.8,2.62,21
ZA-2020-0312,2020-04-29,2020-05-26,2020,4,2,Locational Clearance,Released,"Cruz, M.",Sico,Car Wash,Commercial (C-1),13.838667,121.220026,1201,669.0,1,2424.86,19,1,23.5,2.16,21
ZA-2020-0313,2020-05-01,2020-05-21,2020,5,2,Locational Clearance,Released,"Tipan, S.",Santol,Car Wash,Commercial (C-1),13.878732,121.197305,703,236.0,1,2511.6,14,1,105.2,2.63,22
ZA-2020-0314,2020-05-06,2020-05-20,2020,5,2,Locational Clearance,Released,"Castillo, J.",Halang,Poultry/Livestock Farm,Institutional (Inst),13.822228,121.22051,483,241.0,1,1629.04,10,1,119.7,2.83,22
ZA-2020-0315,2020-05-06,2020-06-03,2020,5,2,Locational Clearance,Released,"Cruz, M.",Plaridel,Medical Clinic,Residential Low Density (R-1),13.891231,121.21615,163,66.0,1,1044.59,20,1,101.2,2.4,22
ZA-2020-0316,2020-05-07,2020-05-08,2020,5,2,Zoning Certificate,Released,"Garduque, H.",Bulacnin,Estate Settlement,Commercial (C-2),13.831463,121.227178,3454,,2,9355.61,1,1,135.9,2.47,22
ZA-2020-0317,2020-05-11,2020-05-21,2020,5,2,Zoning Certificate,Released,"Garduque, H.",Munting Pulo,Business Permit Application,Residential Medium Density (R-2),13.874371,121.245674,195,,1,771.77,8,1,124.5,2.14,22
ZA-2020-0318,2020-05-11,2020-06-10,2020,5,2,Locational Clearance,Released,"Bautista, R.",San Jose,Medical Clinic,Commercial (C-1),13.845882,121.223204,345,240.0,2,1150.16,22,1,146.0,1.81,22
ZA-2020-0319,2020-05-19,2020-06-08,2020,5,2,Locational Clearance,Released,"Bautista, R.",Lodlod,Gasoline Station,Commercial (C-1),13.878315,121.232386,702,267.0,2,2522.1,14,1,129.7,2.13,22
ZA-2020-0320,2020-05-29,2020-06-16,2020,5,2,Locational Clearance,Released,"Bautista, R.",Poblacion Barangay I,Medical Clinic,Residential Medium Density (R-2),13.86526,121.211157,970,439.0,1,2513.31,12,0,115.5,2.43,22
ZA-2020-0321,2020-06-02,2020-06-25,2020,6,2,Development Permit,Released,"Garduque, H.",Munting Pulo,Reclamation Project,Commercial (C-1),13.845193,121.177732,323,171.0,1,2170.31,17,1,207.6,2.83,21
ZA-2020-0322,2020-06-11,2020-07-17,2020,6,2,Development Permit,Released,"Tipan, S.",Pinagkawitan,Memorial Park Development,Residential Medium Density (R-2),13.873801,121.224575,142,117.0,1,1773.77,26,1,200.2,2.16,21
ZA-2020-0323,2020-06-12,2020-06-17,2020,6,2,Zoning Certificate,Released,"Bautista, R.",Poblacion Barangay I,Estate Settlement,Residential Low Density (R-1),13.876049,121.230278,404,,1,1016.92,3,1,189.9,2.4,21
ZA-2020-0324,2020-07-01,2020-07-29,2020,7,3,Development Permit,Released,"Cruz, M.",Lodlod,New Residential Subdivision,Commercial (C-1),13.855443,121.219368,847,625.0,1,3164.93,20,1,216.7,2.29,23
ZA-2020-0325,2020-07-06,2020-08-28,2020,7,3,Locational Clearance,Released,"Garduque, H.",Pinagtongulan,Commercial Building Construction,Residential Medium Density (R-2),13.824562,121.178439,607,228.0,1,1416.79,39,0,200.4,2.75,23
ZA-2020-0326,2020-07-08,2020-09-15,2020,7,3,Development Permit,Released,"Tipan, S.",Parang,Eco-Tourism Site,Agricultural (A),13.875145,121.190185,19284,8490.0,2,59579.98,49,1,217.1,2.67,23
ZA-2020-0327,2020-07-08,2020-07-29,2020,7,3,Locational Clearance,Released,"Castillo, J.",Bulacnin,Medical Clinic,Residential Low Density (R-1),13.871277,121.207295,227,190.0,1,1136.64,15,1,229.3,2.58,23
ZA-2020-0328,2020-07-16,2020-08-10,2020,7,3,Locational Clearance,Released,"Garduque, H.",Tulo,Residential House Construction,Commercial (C-2),13.824551,121.231322,759,481.0,1,2909.98,17,1,206.4,2.09,23
ZA-2020-0329,2020-07-24,2020-07-29,2020,7,3,Zoning Certificate,Released,"Tipan, S.",Tambo,Building Permit Requirement,Residential Low Density (R-1),13.852982,121.244778,911,,1,2005.96,3,1,234.4,2.24,23
ZA-2020-0330,2020-07-28,2020-09-09,2020,7,3,Development Permit,Released,"Castillo, J.",Mabini,New Residential Subdivision,Agricultural (A),13.860475,121.182954,4006,2607.0,1,12338.5,31,0,215.1,1.78,23
ZA-2020-0331,2020-07-30,2020-08-04,2020,7,3,Zoning Certificate,Released,"Cruz, M.",Pinagkawitan,Estate Settlement,Residential Medium Density (R-2),13.850982,121.222775,350,,1,1192.02,3,1,206.4,3.0,23
ZA-2020-0332,2020-07-31,2020-08-10,2020,7,3,Zoning Certificate,Released,"Bautista, R.",Plaridel,Building Permit Requirement,Residential Low Density (R-1),13.858193,121.218145,334,,1,929.8,6,1,217.7,1.86,23
ZA-2020-0333,2020-08-04,2020-08-18,2020,8,3,Locational Clearance,Released,"Bautista, R.",Pinagkawitan,School/Learning Center,Residential Low Density (R-1),13.836706,121.174685,1038,522.0,1,3548.81,10,1,180.5,3.05,22
ZA-2020-0334,2020-08-05,2020-08-11,2020,8,3,Locational Clearance,Released,"Garduque, H.",Mabini,Car Wash,Residential Medium Density (R-2),13.826342,121.215268,894,736.0,1,2154.78,4,1,208.8,2.34,22
ZA-2020-0335,2020-08-10,2020-08-13,2020,8,3,Zoning Certificate,Released,"Cruz, M.",Tambo,Building Permit Requirement,Agricultural (A),13.867654,121.176449,7961,,1,18623.57,3,1,188.4,2.76,22
ZA-2020-0336,2020-08-11,2020-09-29,2020,8,3,Locational Clearance,Released,"Garduque, H.",Pinagtongulan,Food Establishment,Open Space (OS),13.842166,121.24527,577,201.0,1,1808.14,35,0,188.9,2.53,22
ZA-2020-0337,2020-08-12,2020-08-31,2020,8,3,Locational Clearance,Released,"Cruz, M.",Marawoy,Gasoline Station,Residential Low Density (R-1),13.896043,121.171765,139,90.0,1,909.46,13,0,202.1,2.22,22
ZA-2020-0338,2020-08-13,2020-09-25,2020,8,3,Locational Clearance,Released,"Castillo, J.",Santo Niño,Poultry/Livestock Farm,Commercial (C-1),13.867957,121.242192,752,285.0,2,2327.95,31,1,182.5,2.01,22
ZA-2020-0339,2020-08-14,2020-09-03,2020,8,3,Locational Clearance,Released,"Bautista, R.",Santo Niño,Medical Clinic,Commercial (C-2),13.864375,121.236075,886,501.0,2,2960.8,14,0,213.1,2.77,22
ZA-2020-0340,2020-08-20,2020-09-11,2020,8,3,Zoning Certificate,Released,"Garduque, H.",Lodlod,Bank/Loan Requirement,Residential Medium Density (R-2),13.837639,121.220052,656,,1,1911.37,16,1,175.7,2.49,22
ZA-2020-0341,2020-08-20,2020-09-02,2020,8,3,Locational Clearance,Released,"Cruz, M.",Mataas na Lupa,Mini-Grocery/Sari-Sari Store,Open Space (OS),13.873322,121.176408,530,402.0,4,2097.79,9,1,176.8,2.34,22
ZA-2020-0342,2020-08-20,2020-09-25,2020,8,3,Development Permit,Released,"Cruz, M.",Sico,Resort/Tourism Facility,Industrial (I-1),13.860937,121.208664,2302,1225.0,4,5329.93,26,1,211.3,2.29,22
ZA-2020-0343,2020-08-27,2020-09-04,2020,8,3,Locational Clearance,Released,"Castillo, J.",Calumpang,Car Wash,Commercial (C-2),13.865281,121.240243,1105,373.0,1,3367.8,6,1,203.2,2.42,22
ZA-2020-0344,2020-09-01,2020-09-24,2020,9,3,Locational Clearance,Released,"Bautista, R.",Iligan,Warehouse/Storage Facility,Commercial (C-1),13.843729,121.176175,1411,462.0,3,3863.37,17,0,158.6,2.38,21
ZA-2020-0345,2020-09-01,2020-09-30,2020,9,3,Development Permit,Released,"Cruz, M.",Pinagtongulan,Commercial Complex Development,Commercial (C-2),13.874745,121.245918,1120,501.0,1,3304.62,21,0,155.0,2.1,21
ZA-2020-0346,2020-09-07,2020-09-24,2020,9,3,Locational Clearance,Released,"Cruz, M.",Poblacion Barangay II,Residential House Construction,Residential Medium Density (R-2),13.852863,121.209172,332,100.0,1,1305.02,13,1,154.6,2.38,21
ZA-2020-0347,2020-09-15,2020-10-21,2020,9,3,Development Permit,Released,"Castillo, J.",Munting Pulo,Memorial Park Development,Commercial (C-2),13.878293,121.195229,732,263.0,2,3444.65,26,1,139.1,2.23,21
ZA-2020-0348,2020-09-16,2020-10-15,2020,9,3,Locational Clearance,Released,"Castillo, J.",Calumpang,Apartment/Boarding House,Residential Medium Density (R-2),13.825819,121.192448,672,422.0,1,2764.08,21,0,177.7,2.21,21
ZA-2020-0349,2020-09-18,2020-10-07,2020,9,3,Locational Clearance,Released,"Tipan, S.",Bulacnin,Gasoline Station,Institutional (Inst),13.898258,121.184471,504,219.0,1,1392.51,13,1,151.0,2.72,21
ZA-2020-0350,2020-09-18,2020-12-10,2020,9,3,Development Permit,Released,"Tipan, S.",Parang,Reclamation Project,Commercial (C-2),13.889314,121.174769,879,569.0,1,4430.79,59,0,148.1,2.53,21
